ID,Filename,Tissue_Area_um2,Collagen_Area_um2,CVF_Percent
001,001.jpg,218375.58265909913,22304.914865354425,10.214015044060163
002,002.jpg,214048.0618282816,12817.691100108683,5.988230395840526
003,003.jpg,213255.11411665258,22565.75292839029,10.58157644746874
004,004.jpg,220689.54232580605,10466.670691945417,4.742712582408355
005,005.jpg,223328.46274604517,11369.387755102041,5.09088166161363
006,006.jpg,220404.25069436058,13301.871754619007,6.035215615267332
007,007.jpg,211804.20239101557,13822.135007849294,6.525902154826937
008,008.jpg,218665.8736867528,19241.480497524455,8.799489455354431
009,009.jpg,219380.67866199734,12049.740369520589,5.492616962903001
010,010.jpg,212504.33522521434,25485.07426639295,11.992731460929301
011,011.jpg,204106.21905566962,19251.370607414563,9.432035288529738
012,012.jpg,216201.38872116894,13366.103127641589,6.182246657480824
013,013.jpg,203647.47011230528,20053.88238135491,9.847351587670504
014,014.jpg,218225.9268204323,14006.569254920903,6.418380005986292
015,015.jpg,216623.18560560318,13524.018838304552,6.243107726671129
016,016.jpg,216696.87235841082,9727.303465765004,4.488898875142187
017,017.jpg,220110.2644608139,12675.969085859195,5.758917748297872
018,018.jpg,221837.22980316388,17527.12232822123,7.900893075419776
019,019.jpg,221844.40284989736,15512.909068953024,6.9926979764503
020,020.jpg,212592.15070643643,16769.38775510204,7.888055932158333
021,021.jpg,214727.6536650163,15688.322666344644,7.3061491608430895
022,022.jpg,211230.2499698104,20760.970897234634,9.828597419262557
023,023.jpg,216946.73348629393,13547.602946504045,6.244667863302927
024,024.jpg,228463.71211206375,6537.688684941432,2.8615873499134206
025,025.jpg,228983.2145876102,4635.961840357445,2.0245858844748206
026,026.jpg,227486.22147083684,3791.0638811737713,1.6665026376816303
027,027.jpg,230434.56104335224,3075.498128245381,1.33465141440601
028,028.jpg,233863.82079459002,4460.330877913296,1.9072342454504516
029,029.jpg,231582.6832508151,4087.875860403333,1.7651906450949824
030,030.jpg,219117.5582659099,6616.918246588576,3.0198028396056795
031,031.jpg,229972.00821156864,5057.976089844222,2.1993877120866845
032,032.jpg,228265.58386668278,5194.155295254196,2.2754877048341258
033,033.jpg,225789.9046008936,5974.495833836493,2.6460420559533055
034,034.jpg,228762.37169423982,5325.661152034779,2.3280319716010696
035,035.jpg,227554.47409733123,4404.685424465644,1.9356619736607068
036,036.jpg,228941.80654510326,6200.3381234150465,2.708259455528291
037,037.jpg,224049.35394276053,6821.1327134404055,3.0444777426954994
038,038.jpg,228559.89614780823,5301.424948677696,2.3194904434368913
039,039.jpg,228246.5644245864,4548.472406714165,1.9927889903538938
040,040.jpg,228326.66344644365,6141.214829126917,2.6896617050454124
041,041.jpg,225760.01690617076,4659.437266030673,2.06388949198529
042,042.jpg,197649.82490037434,37382.11568651129,18.913305744315124
043,043.jpg,199352.0106267359,43274.77357807028,21.707718644030834
044,044.jpg,189778.7103006883,50533.570824779614,26.627628960442106
045,045.jpg,194457.0583262891,43112.51056635672,22.170710046439204
046,046.jpg,201977.6717787707,36341.589180050716,17.992874588561566
047,047.jpg,191026.27701968362,37437.761139958944,19.59822581691277
048,048.jpg,198160.74145634586,36466.35672020287,18.402412330616098
049,049.jpg,201241.45634585194,31060.487863784565,15.434438026727584
050,050.jpg,204930.03260475787,33694.62625286801,16.442014781627336
051,051.jpg,191961.70752324598,43293.57565511412,22.553235337246306
052,052.jpg,196082.84023668637,32743.328100470957,16.698721857020917
053,053.jpg,199666.75522279917,45528.52312522642,22.80225522492374
054,054.jpg,215234.44028498975,4641.287284144427,2.1563869044372943
055,055.jpg,207554.06351889868,6818.850380388842,3.2853369694532417
056,056.jpg,220609.6606690013,6328.14877430262,2.8684821666977034
057,057.jpg,198833.59497645212,10453.628788793623,5.257476127226714
058,058.jpg,219199.83093829246,7444.644366622389,3.3962819837749554
059,059.jpg,214016.4352131385,5746.588576258906,2.68511554756806
060,060.jpg,221029.39258543655,28293.430745079095,12.800754874328568
061,061.jpg,215599.1788431349,30890.725757758726,14.32784944892305
062,062.jpg,206308.0183552711,35068.264702330634,16.998013447030257
063,063.jpg,216281.27037797368,20026.494384736143,9.259467705982026
064,064.jpg,205083.05760173892,33669.84663687961,16.417663667890483
065,065.jpg,207706.87115082718,35841.75824175824,17.255932864990108
066,066.jpg,207688.17775630963,35999.13053978988,17.33325937407442
067,067.jpg,189470.48665620093,46504.92694119068,24.544681212317283
068,068.jpg,196201.08682526264,39516.20577224973,20.14066609500639
069,069.jpg,194176.54872599928,49908.86366380872,25.702827654144087
070,070.jpg,194536.93998309382,60167.6246830093,30.928637351979603
071,071.jpg,199745.33268928874,45424.51394759087,22.74121419309976
072,072.jpg,201397.19840598962,37970.196836130905,18.853388794211575
