Group,Sample,Tissue_Area_um2,Collagen_Area_um2,CVF_Percent
Sham,20251126_sham-1_mt_1.jpg,176853.9447638798,6279.385427467247,3.5506052386057565
Sham,20251126_sham-1_mt_2.jpg,177614.7327740598,4527.401263078519,2.5490009710161474
Sham,20251126_sham-1_mt_3.jpg,176650.4288811387,3807.67273070035,2.155484566223378
Sham,20251126_sham-1_mt_4.jpg,179160.40154585734,3079.9698369309085,1.7191130463851796
Sham,20251126_sham-1_mt_5.jpg,181718.05071165998,4341.700443020079,2.389251054596247
Sham,20251126_sham-1_mt_6.jpg,179818.28636063726,4017.5511358280714,2.234228351932246
Sham,20251126_sham-2_mt_1.jpg,169567.66896031675,6499.019700254503,3.832699794779536
Sham,20251126_sham-2_mt_2.jpg,178561.98510698468,5034.367046847018,2.8193946454116188
Sham,20251126_sham-2_mt_3.jpg,176894.24073899526,5092.817419172402,2.87901821896326
Sham,20251126_sham-2_mt_4.jpg,174922.53746818742,5758.931096239044,3.2922750719222793
Sham,20251126_sham-2_mt_5.jpg,177419.70025450096,5186.219247808466,2.923136066834211
Sham,20251126_sham-2_mt_6.jpg,176425.6197568103,4476.331416721653,2.5372343443610657
Sham,20251126_sham-3_mt_1.jpg,177393.74116316342,6012.583655386938,3.3894001084608036
Sham,20251126_sham-3_mt_2.jpg,173292.8834008861,6548.901875765861,3.779094529009594
Sham,20251126_sham-3_mt_3.jpg,177333.84861909706,5264.775190875673,2.968849563618342
Sham,20251126_sham-3_mt_4.jpg,177068.14968423042,4492.280139504196,2.537034552806577
Sham,20251126_sham-3_mt_5.jpg,177134.15024978796,5968.215665944012,3.3693196131450978
Sham,20251126_sham-3_mt_6.jpg,174969.7049674805,4581.94928834009,2.6187100728047072
Sham10W,20260107_sham-4(10w)_mt_1.jpg,177430.04995758322,3719.276086341786,2.0961928868480415
Sham10W,20260107_sham-4(10w)_mt_2.jpg,173675.65274766713,3814.5442548779347,2.1963609720356576
Sham10W,20260107_sham-4(10w)_mt_3.jpg,178286.1061362994,3450.014138938638,1.9350998312235883
Sham10W,20260107_sham-4(10w)_mt_4.jpg,177028.44754453772,3512.53652559148,1.984165016590217
Sham10W,20260107_sham-4(10w)_mt_5.jpg,171068.7152417759,3857.7245734753524,2.25507309622518
