序號,原始檔名,新檔名,Group,File,Tissue_Area_um2,Collagen_Area_um2,CVF_Percent
131,20260107_hs10w-3_mt_6.jpg,131.jpg,HS10W,131.jpg,222616.8096,8365.837459,3.757954072
132,20260107_hs10w-4_mt_1.jpg,132.jpg,HS10W,132.jpg,219523.3788,10034.3316,4.570962627
133,20260107_hs10w-4_mt_2.jpg,133.jpg,HS10W,133.jpg,210579.2416,20178.86729,9.582552929
134,20260107_hs10w-4_mt_3.jpg,134.jpg,HS10W,134.jpg,209451.117,16505.61526,7.880414055
135,20260107_hs10w-4_mt_4.jpg,135.jpg,HS10W,135.jpg,202784.4222,24119.80437,11.89430831
136,20260107_hs10w-4_mt_5.jpg,136.jpg,HS10W,136.jpg,212291.2088,15314.99819,7.214146208
137,20260107_hs10w-4_mt_6.jpg,137.jpg,HS10W,137.jpg,218835.5271,15267.50392,6.976702607
138,20260107_hs10w-5_mt_1.jpg,138.jpg,HS10W,138.jpg,191059.5339,17080.76319,8.940021388
139,20260107_hs10w-5_mt_2.jpg,139.jpg,HS10W,139.jpg,197378.988,24135.56334,12.22803074
140,20260107_hs10w-5_mt_3.jpg,140.jpg,HS10W,140.jpg,213754.5103,18434.62142,8.624202313
141,20260107_hs10w-5_mt_4.jpg,141.jpg,HS10W,141.jpg,211041.6858,14570.84893,6.904251583
142,20260107_hs10w-5_mt_5.jpg,142.jpg,HS10W,142.jpg,196453.2303,22189.05929,11.29483046
143,20260107_hs10w-5_mt_6.jpg,143.jpg,HS10W,143.jpg,210751.1774,26488.97476,12.56883833
144,20260107_hs10w-6_mt_1.jpg,144.jpg,HS10W,144.jpg,206227.9193,14422.60597,6.993527361
145,20260107_hs10w-6_mt_2.jpg,145.jpg,HS10W,145.jpg,215913.2713,11663.59135,5.401979823
146,20260107_hs10w-6_mt_3.jpg,146.jpg,HS10W,146.jpg,216365.608,10967.69714,5.069057527
147,20260107_hs10w-6_mt_4.jpg,147.jpg,HS10W,147.jpg,216057.167,22736.81922,10.52352002
148,20260107_hs10w-6_mt_5.jpg,148.jpg,HS10W,148.jpg,213756.3579,17132.38739,8.014913596
149,20260107_hs10w-6_mt_6.jpg,149.jpg,HS10W,149.jpg,218560.4516,17974.56829,8.224071718
150,20260107_sham-4(10w)_mt_1.jpg,150.jpg,Sham10W,150.jpg,229314.1529,3656.732279,1.594638723
151,20260107_sham-4(10w)_mt_2.jpg,151.jpg,Sham10W,151.jpg,224832.6289,3769.544741,1.676600393
152,20260107_sham-4(10w)_mt_3.jpg,152.jpg,Sham10W,152.jpg,230373.5901,3379.700519,1.467052068
153,20260107_sham-4(10w)_mt_4.jpg,153.jpg,Sham10W,153.jpg,228959.5218,3488.056998,1.523438279
154,20260107_sham-4(10w)_mt_5.jpg,154.jpg,Sham10W,154.jpg,221758.6523,3782.043231,1.70547719
155,20260107_sham-4(10w)_mt_6.jpg,155.jpg,Sham10W,155.jpg,230241.6496,3200.156986,1.389912291
156,20260107_sham-5(10w)_mt_1.jpg,156.jpg,Sham10W,156.jpg,231525.0815,4168.30093,1.800366899
157,20260107_sham-5(10w)_mt_2.jpg,157.jpg,Sham10W,157.jpg,231832.001,3962.782273,1.709333593
