PCoA1,PCoA2,Sample,Group
0.184157902223961,-0.06903240748260239,Sham-1_Stool,Sham
0.2196457568921846,0.050062628412793395,Sham-2_Stool,Sham
0.14400312567320755,-0.06393250459396735,Sham-3_Stool,Sham
0.1073193914551171,0.05392306271140145,Sham-4_Stool,Sham
0.036579683046916535,0.030560036389802803,Sham-5_Stool,Sham
0.24831747542965174,-0.0833877968588841,Sham-6_Stool,Sham
-0.2163343093509082,-0.06963752758493266,AP-1_Stool,AP
-0.3539777544885691,0.0052041171148329325,AP-2_Stool,AP
-0.2992088309905789,-0.017285795715750157,AP-3_Stool,AP
-0.2659432248077516,-0.0945612024899162,AP-4_Stool,AP
-0.2664578761041278,-0.018240795579663776,AP-5_Stool,AP
-0.30952323509464635,-0.11804293405239713,AP-6_Stool,AP
-0.25535033131626805,0.03020017949514389,AP-GiExo-1_Stool,AP-GiNV
-0.1265244128285702,0.3777912194638122,AP-GiExo-2_Stool,AP-GiNV
0.2668617880134927,-0.010763850868329993,AP-GiExo-3_Stool,AP-GiNV
0.2670588568386979,0.028773215540846667,AP-GiExo-4_Stool,AP-GiNV
0.2639875459779718,-0.01887720861434134,AP-GiExo-5_Stool,AP-GiNV
0.35538844943021936,-0.012752435287848538,AP-GiExo-6_Stool,AP-GiNV
