Sham,AP,AP-GiNV
79.6,73.16666666666667,60.5
86.1,70.0,111.01666666666667
75.25,79.64285714285714,88.5
90.66666666666667,73.0,85.0
84.1,78.75,80.0
72.16666666666667,63.5,75.0
