Genus,Mean_AP,Mean_AP_GiNV,Fold_Change
Muribaculaceae,0.7347934817683123,0.37391093901258476,0.5088653455563487
Lachnospiraceae_NK4A136_group,0.018782940733569974,0.1711170269979563,9.110236220472437
Bacteroides,0.0020436700010756158,0.09976336452619124,48.815789473684205
uncultured,0.031690330214047546,0.05694041088523181,1.7967755621552823
unclassified,0.04044315370549639,0.04298429600946543,1.0628324468085109
Clostridia_UCG-014,0.016873722706249327,0.042728837259330965,2.5322709163346615
Desulfovibrio,0.05996558029471872,0.004584812305044639,0.07645739910313903
Clostridia_vadinBB60_group,1.3445197375497473e-05,0.02363665698612456,1758.0000000000002
Candidatus_Arthromitus,0.00415456598902872,0.03969022265246853,9.553398058252423
Oscillibacter,0.003912552436269765,0.021579541787673445,5.515463917525773
Prevotellaceae_UCG-001,0.0006857050661503712,0.02153920619554695,31.411764705882344
Lactobacillus,0.015300634613316122,0.01957620737872432,1.2794376098418279
Anaeroplasma,0.0,0.010567925137141013,inf
Colidextribacter,0.006211681187479831,0.01387544369151339,2.2337662337662336
Parasutterella,0.013149403033236529,0.0027428202646014844,0.2085889570552147
Anaerotruncus,0.001075615790039798,0.004880606647305583,4.5375000000000005
Helicobacter,0.00037646552651392917,0.0,0.0
Blautia,0.0007798214477788534,0.00914273421533828,11.724137931034482
Butyricicoccus,0.009183069807464774,0.0019092180273206413,0.20790629575402636
ASF356,0.001640314079810692,0.0020571151984511127,1.254098360655737
Streptococcus,0.003146176185866409,0.0073276325696461225,2.329059829059829
Lachnospiraceae_FCS020_group,0.0065478111218672695,0.0006453694740238787,0.09856262833675564
Roseburia,0.004665483489297623,0.0009546090136603205,0.20461095100864551
Alistipes,0.0002420135527589545,0.003307518554372378,13.666666666666666
Mucispirillum,0.00016134236850596966,0.0018285468430676566,11.333333333333336
Lachnospiraceae_UCG-001,0.002621813488222007,0.0014924169086802195,0.5692307692307693
Akkermansia,0.001788211250941164,0.0021108959879531032,1.1804511278195489
GCA-900066575,0.003052059804237927,0.0009814994084113154,0.3215859030837004
Candidatus_Saccharimonas,0.0012638485532967625,0.0004168011186404216,0.3297872340425531
Parabacteroides,0.00016134236850596966,0.0034688609228783474,21.499999999999996
