Group,Bacteroidota,Firmicutes,Desulfobacterota,Proteobacteria,Campilobacterota,unclassified,Deferribacterota,Verrucomicrobiota,Patescibacteria,Actinobacteriota
Sham,0.5521001398300528,0.41268688824351946,0.002030224803700119,0.005821770463590405,0.018352694417554053,0.0005915886845218888,0.004289017962783694,0.0009008282241583307,0.003052059804237926,0.00017478756588146715
AP,0.7384909110465743,0.18001774766053566,0.05996558029471873,0.015031730665806174,0.00037646552651392917,0.0003495751317629343,0.00016134236850596966,0.001788211250941164,0.0012638485532967625,0.00250080671184253
AP-GiNV,0.5021243411853287,0.4740507690652898,0.00467892868667312,0.004356243949661181,2.689039475099495e-05,0.00935785737334624,0.001828546843067656,0.0021915671722060877,0.0004974723028934064,0.0003899107238894267
