Group,WeekNum,mean,sem
HFD,0.0,20.03,0.3015404892658143
HFD,1.0,22.063333333333333,0.3925104386439226
HFD,2.0,23.224333333333334,0.45268986194867517
HFD,3.0,25.02333333333333,0.7348000483880713
HFD,4.0,27.040000000000003,0.8979977728257461
HFD,5.0,28.756666666666664,1.1430650802897349
HFD,6.0,30.886666666666667,1.294847910416937
HFD,7.0,32.156666666666666,1.5297007695769926
HFD,8.0,34.24,1.645300377843916
HFD,9.0,35.18,1.9711384189515135
HFD,10.0,37.04,2.117274978205083
HFD,11.0,38.696666666666665,2.326716809392822
HFD,12.0,40.69,2.596314053936207
HFD,13.0,42.266666666666666,2.834551894822963
HFD,14.0,43.48,2.698878779542843
HFD,15.0,44.88999999999999,2.6788094370447486
HFD,16.0,46.080000000000005,2.498639629878627
HS10W,0.0,18.736666666666668,0.2867945451209119
HS10W,1.0,21.453333333333333,0.36637564208215434
HS10W,2.0,23.310000000000002,0.25101128792679184
HS10W,3.0,25.093333333333334,0.27093254593061417
HS10W,4.0,26.886666666666667,0.41916318752697934
HS10W,5.0,23.453333333333333,0.29482951759354825
HS10W,6.0,23.09,0.2595765782962713
HS10W,7.0,23.483333333333334,0.22764982856229965
HS10W,8.0,23.593333333333334,0.2157570650317417
HS10W,9.0,24.136666666666667,0.22505801721136487
HS10W,10.0,24.55666666666667,0.15417882834913194
HS10W,11.0,24.76,0.3102687007525355
HS10W,12.0,24.76,0.2898735356438503
HS10W,13.0,24.846666666666668,0.24383965587610595
HS10W,14.0,25.426666666666666,0.344196326405601
HS10W,15.0,25.313333333333333,0.22649012732959853
HS10W,16.0,25.33,0.30531950478146647
Sham,0.0,19.78,0.3565015193983516
Sham,1.0,21.41,0.253442958736938
Sham,2.0,23.61,0.32736320298204913
Sham,3.0,24.46666666666667,0.22197096907278474
Sham,4.0,25.25,0.24542480178933304
Sham,5.0,26.08,0.29120439557122046
Sham,6.0,26.66333333333333,0.28101799072499123
Sham,7.0,27.27,0.4069971334870386
Sham,8.0,27.27,0.33012118986820604
Sham,9.0,27.766666666666666,0.2666666666666667
Sham,10.0,28.186666666666667,0.24709872071254757
Sham,11.0,28.366666666666664,0.5815305475878093
Sham,12.0,28.613333333333333,0.623146139449737
Sham,13.0,28.52,0.6843975452907466
Sham,14.0,28.820000000000004,0.28589042189855357
Sham,15.0,29.326666666666668,0.21858128414340097
Sham,16.0,29.167333333333332,0.5304844745869371
