Functional_Category,count,sum,mean
Protein Synthesis,178,4431.241036874837,24.894612566712567
Other,266,3185.219051928678,11.974507714017586
Antioxidant,24,195.13418014054085,8.130590839189201
Exosome Marker,9,87.37961619853138,9.708846244281265
Lipid Metabolism,7,52.74385923621638,7.534837033745197
Anti-stress/HSP,4,34.816856044481824,8.704214011120456
Transport,1,3.981943539983922,3.981943539983922
Defense/Immunity,1,2.8889324960753533,2.8889324960753533
